Nr.,Maßnahme,"P, D, C, A1",Gültigkeit
M51.P05,"Definieren und Dokumentieren der Prozessrollen, mit denen Aufgaben erledigt werden","P, D",V1.0
M51.P06,Definieren und Dokumentieren der Benutzerrollen,"P, D",V1.0
M51.P07,"Spezifizieren, wie die Verarbeitungstätigkeiten mit der Unterstützung von eingesetzten Systemen und Diensten realisiert werden",P,V1.0
M51.P08,"Begründen, rechtlich Beurteilen und Dokumentieren falls fachliche Anforderungen an die Verarbeitungstätigkeit nicht vollständig in die technische Ebene transformiert werden können","D, C",V1.0
M51.P09,Dokumentieren von Verarbeitungsvorgängen und die daraus abgeleiteten Aufgaben und Prozessrollen bereits in der Planungsphase,P,V1.0
M51.P10,"Festlegen, welche Verarbeitung durch welche Person ausgeführt wird, mittels Vergabe von Prozess- und Benutzerrollen","P, D, C",V1.0
M51.P11,Festlegen eines Ablaufs für die Zuweisung (und den Entzug) von Zuständigkeiten und Berechtigungen,"P, D, C",V1.0
M51.P12,"Einrichtung einer Rolle, die für die Zuordnung Änderung und den Entzug von Personen zu Rollen zuständig ist","P, D, C",V1.0
M51.P13,Vermeiden von Vertretungen aus Bereichen mit anderen Verarbeitungszwecken,"P, D, C",V1.0
M51.P14,Einschränken der Rechte von Vertretungen nach dem „need to know“-Prinzip,"P, D, C",V1.0
M51.P15,Regelmäßige Revision des RZB und RBK im Change Management integrieren,C,V1.0
M51.P16,Entziehen von Zuständigkeiten und Berechtigung nach dem Entzug von organisationsspezifischen Befugnissen,"P, D, C",V1.0
M51.P17,"Prüfen und ggf. Entziehen von Prozess- und Benutzerrollen, wenn die Verarbeitungstätigkeit verändert oder eingestellt wird","D, C",V1.0
M51.P18,"Identifizieren und Festlegen der Prozessrollen zusammen mit ihren Aktivitäten durch Analyse der Aufgaben und organisatorischen Verantwortung","P, D, C",V1.0
M51.P19,"Zuweisen von Aufgaben und Funktionen an Prozessrollen","P, D",V1.0
M51.P20,"Regeln der Auftragsverarbeitung und Zuordnung von Aufgaben zusammen mit den entsprechenden Prozessrollen",P,V1.0
M51.P21,"Zuweisen von Personen und automatisiertern Prozessen zu Prozessrollen","P, D",V1.0
M51.P22,"Erstellen eines Berechtigungskonzepts für Notfall-Management","P, D, C",V1.0
M51.P23,"Konkretisieren externer Richtlinien für interne Verhältnisse, so dass sie organisationsspezifisch sind","P, D, C",V1.0
M51.P24,"Prüfen und ggfs. Umsetzen (veränderter) gesetzlicher Regelungen sowie des (veränderten) Stands der Technik","P, D, C",V1.0
M51.P25,"Unterweisen der Beschäftigten, wie personenbezogen Daten im Zuständigkeitsbereich verarbeitet werden",D,V1.0
M51.P26,"Schulen von Beschäftigten, auch zur Steigerung der Sensibilität","P, D, C",V1.0
M51.P27,"Dokumentieren (Nachweisen), dass Beschäftigte über geltende Vorgaben informiert wurden","D, C",V1.0
M51.P28,"Informieren der betroffenen Beteiligten und Beschäftigten über Änderungen im Betriebsablauf",D,V1.0
M51.P29,"Berücksichtigen der Anforderungen des Beschäftigten-Datenschutzes","P, D, C",V1.0
M51.P30,"Informieren der Benutzer von Systemen und Diensten über die jeweils gültigen Nutzungsvorgaben","P, D, C",V1.0
M51.P31,"Ausweisen im Rollen- und Berechtigungskonzept die Berechtigungen der einzelnen Benutzerrollen, die Protokollierungsart der Aktionen der Benutzer und das Verfahren, mit dem Benutzer und Benutzerrollen verwaltet und Berechtigungen für den Zugriff auf Daten, Systeme und Dienste vergeben bzw. entzogen werden","P, D, C",V1.0
M51.P32,"Berücksichtigung ggf. der besonderen Anforderungen im Falle einer Auftragsverarbeitung bei der Maßnahme M51.P31","P, D, C",V1.0
M51.P33,"Testen des vorläufiges RBK in Bezug auf eine jeweils bestimmte Verarbeitung",P,V1.0
M51.P35,"Gewährleisten, dass die Kombination unterschiedlicher Benutzerrollen nicht zu einer unzulässigen Gesamtberechtigung führen",P,V1.0
M51.P36,"Erstellen eines Kapitels im Berechtigungskonzept für Querschnittsaufgaben","P, D, C",V1.0
M51.P37,"Absichern von gemeinsamen Berechtigungen unterschiedlicher Rollenträger bei Querschnittaufgaben durch Vier-Augen-Prinzip","P, D",V1.0
M51.P38,"Rollen managen beim Übergang von Projektbetrieb in Linienbetrieb, z. B. Berechtigungen der Entwicklungsabteilung entziehen","P, D, C",V1.0
M51.P39,"Umsetzung von Schutzmaßnahmen zur Verhinderung der Umgehung festgelegter Berechtigungen","P, D, C",V1.0
M51.P40,"Absichern und Beschränken der Berechtigungen von technischen Systemnutzern und Standard-Benutzern im Auslieferungszustand von Systemen und Diensten","P, D, C",V1.0
M51.P41,"Festlegen von gesonderten Regelungen für administrative Aufgaben im RBK","P, D, C",V1.0
M51.P42,Striktes Trennen administrativer Rollen,"P, D, C",V1.0
M51.P43,"Zuweisen von Benutzerrollen und der organisatorischen Verantwortlichkeit für automatisierte Abläufe","P, D, C",V1.0
M51.P44,"Berücksichtigen von Verarbeitungsänderungen bei automatisierten Abläufen","P, D, C",V1.0
M51.P45,"Evaluieren und Dokumentieren der vergebenen Berechtigungen sowie Sicherstellen, dass Personen und technische Systemnutzer mit ihren Benutzerrollen korrekt verknüpft sind","P, D, C",V1.0
M51.P46,"Identifizieren und Bearbeiten von Schutzmaßnahmen mit Bezug zu Zuständigkeiten und Berechtigungen im Rahmen einer DSFA","P, D, C",V1.0
M51.P47,"Turnusmäßiges Überprüfen und Dokumentieren der Zuweisungen von Personen zu Rollen und Berechtigungen, die zur Durchführung einer verarbeitungsspezifischen Aktivität benötigt werden","P, D, C",V1.0
M51.P48,"Informieren Personen mit sensiblen Rollen und Prüfen, welche Personen auf Verschwiegenheit zu verpflichten sind","P, D, C",V1.0
M51.P49,"Prüfen, ob Personen zusätzlich einer Sicherheitsprüfung zu unterziehen sind","P, D, C",V1.0
M51.P50,"Entscheiden und Dokumentieren, ob Externe Verarbeitungen mit hohem Risiko ausführen dürfen; wenn ja, ist festzulegen, welche diese sind","P, D, C",V1.0
M51.P51,"Standardisieren von sehr engen und klaren Aktivitäten bei Verarbeitungen mit hohem Risiko", "P, D, C", V1.0
M51.P52,"Berücksichtigen der Funktionstrennung sowohl bei der Zuordnung der Berechtigungen zu einer Benutzerrolle als auch bei der Zuordnung von Personen zur Benutzerrolle","P, D, C",V1.0
M51.P53,"Leichte Zugänglichmachen der Vorgaben für die Aktivitäten sowie den System- und Dienstebetrieb für alle befassten Beschäftigten","P, D, C",V1.0
M51.P54,"Schützen des RBK und der Vorgaben vor unberechtigter Kenntnisnahme","P, D, C",V1.0
M51.P55,"Formulieren und Aktuellhalten von Vertretungsregeln (auch Vertretung für Vertretung)","P, D, C",V1.0
M51.P56,"Definieren, Regeln und Protokollieren von Befugnissen, in denen Hierarchien aufgehoben werden","P, D, C",V1.0
M51.P57,"Sicherstellen der Fortschreibung des RBK und der Vorgaben durch die zur Fortschreibung Befugten","P, D, C",V1.0
M51.P58,"Revisionsfestes Dokumentieren und Protokollieren von Änderungen im RBK","P, D, C",V1.0
M51.P59,"Revisionsfestes Dokumentieren und Protokollieren von Organisations- und Arbeitsstrukturänderungen, sofern diese sich auf Rollendefinitionen und Zugriffsrechte auswirken","P, D, C",V1.0
M51.P60,"Vorlegen des RBK mit spezifischem Bezug zur Administration durch Auftragsverarbeiter","P, D, C",V1.0
M51.P61,"Identifizieren, Bearbeiten und Dokumentieren von Verstößen gegen das RBK","P, D, C",V1.0
